No	大分類	中分類	国	産地	銘柄名	市販価格	バー価格	知名度	味わいタグ	検索タグ	ソフィーのセリフ	定番フラグ	ソフィーの推し	GPT_甘辛	GPT_ボディ	GPT_個性	GPT_第4軸	GPT_コスパ	GPT_評価根拠	Gemini_甘辛	Gemini_ボディ	Gemini_個性	Gemini_第4軸	Gemini_コスパ	Gemini_根拠	Claude_甘辛	Claude_ボディ	Claude_個性	Claude_第4軸	度数	マップ産地	製造元と創業年	銘柄誕生年	公式URL	鑑定評価(200字)	ソフィーの裏話	情報ソース、
1	カクテル	ウイスキー系カクテル	アメリカ	ケンタッキー	ミントジュレップ	300円	1,400円	2	甘口,ミディアムボディ,ハーバル,バニラ,スパイシー,炭酸・泡立ち,ぽかぽか広がる,余韻が長い,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,食前酒,旅を感じたい,見た目が映える,うんちく語れる	ケンタッキーダービーの公式カクテル。銀のカップにミントが溢れる、南部の貴族の味です。			0.8	0.8	1.2	-1.5	−	砂糖とミント主体で甘く香り強く酸味ほぼなし	0.8	0.2	1.5	-1.2	-	大量のミントによる強烈な清涼感と砂糖の甘味	0.5	0.5	-1.5	-1.5	0.25	"アメリカ / ケンタッキー州"	-	18世紀後半	https://www.iba-world.com/	バーボンをベースに、ミント、砂糖、水を加えてクラッシュドアイスで満たすスタイル。18世紀の米国南部で薬用酒として誕生し、1938年以降ケンタッキーダービーの公式飲料として定着した。冷たい金属製カップを用いるのが正統とされる。芳醇なバーボンの香りとミントの清涼感が融合した、米国南部を象徴する歴史的傑作。夏の暑さを凌ぐための知恵が詰まった、清涼感溢れる構成となっている。	ケンタッキーダービーでは、二日間で12万杯以上も消費される伝統の一杯でございます。銀のカップで供されるのが正統なスタイルとされております。	"IBA、 ケンタッキーダービー公式サイト"
2	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	ウイスキーサワー	220円	1,200円	2	中口,ミディアムボディ,フルーティー,柑橘系,酸味が際立つ,なめらか,余韻が長い,冷やして飲む	アメリカ,誰でも知ってる定番,お酒好き向け,食前酒,大人の夜,ゆったりしたい	レモンとウイスキーの古典的な組み合わせ。シンプルだからこそ誤魔化しが利きません。			0.5	0.5	0.8	1.2	−	レモン主体の典型酸味系ウイスキーカクテル	0.3	0.4	0.6	1.4	-	レモンの鮮やかな酸味とウイスキーのコクが共存	0	0	0.5	1	0.25	"アメリカ / ウィスコンシン州"	-	1860年代	https://www.iba-world.com/	ウイスキーにレモンジュースと砂糖を加え、酸味と甘味のバランスを整えたクラシックカクテル。1862年のジェリー・トーマスの著書に記載がある。元々は航海中の壊血病予防として飲まれていた「パンチ」が起源とされる。ウイスキーの骨格を崩さず、柑橘の酸がキレを生む。米国では卵白を加えて口当たりを滑らかにする「ボストンサワー」の形式も一般的であり、サワーカクテルの原点として君臨している。	最古のカクテルブックにも掲載されている、非常に歴史の深い一杯でございます。シンプルゆえに、バーテンダーの技量が最も試されるとも言われております。	"IBA、 Imbibe!"
3	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	ゴッドファーザー	300円	1,300円	2	甘口,フルボディ,ナッティー,スパイシー,バニラ,余韻が長い,ぽかぽか広がる,冷やして飲む	アメリカ,誰でも知ってる定番,お酒好き向け,大人の夜,物語のある一杯,うんちく語れる,締めの一杯	スコッチとアマレットのゴッドファーザー。アーモンドの甘みが、映画の場面を呼び起こします。			1.2	1	0.6	-1.8	−	アマレット甘味主体で酸味ほぼ皆無	1.5	1.5	1.2	-1.5	-	アマレットの芳醇な甘みとウイスキーの重厚感	1.5	1.5	-0.5	-1.5	0.25	"イタリア / 国際"	-	1970年代	-	スコッチウイスキーとイタリアの銘酒「アマレット」を組み合わせた、重厚なカクテル。1972年公開の同名映画に敬意を表して考案されたという説が有力。ウイスキーのスモーキーさとアマレットの杏仁のような甘美な香りが、複雑で重層的なハーモニーを奏でる。映画の世界的ヒットと共に普及し、イタリア系移民の誇りと哀愁を感じさせる構成。食後の余韻を楽しむのに適した、時代を象徴するスタンダード。	映画の主演、マーロン・ブランド氏がこの組み合わせを好んでいたという逸話がございます。映画の重厚な世界観をグラスに閉じ込めたような一杯でございます。	"サントリー、 International Bartenders  Association"
4	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	ニューヨーク	250円	1,300円	2	やや辛口,ミディアムボディ,フルーティー,柑橘系,スパイシー,余韻が長い,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,大人の夜,一人しっぽり,旅を感じたい	バーボンとライムの都会的な組み合わせ。NYの夜のように、洗練されて少し孤独です。			0.2	1.2	1	0.5	−	赤ワインフロートで重厚感と香り増強	0.4	0.3	0.8	0.7	-	彩り鮮やかでライムとグレナデンのバランスが良い	0	1	0.5	0.5	0.25	"アメリカ / ニューヨーク州"	-	1900年代初頭	-	ライウイスキーまたはバーボンをベースに、ライムジュースとグレナデンシロップを加えた、鮮やかな紅色のカクテル。19世紀末から20世紀初頭にかけてニューヨークで考案されたとされる。大都会の夕焼けを思わせる色彩と、甘酸っぱい爽やかな味わいが特徴。ウイスキー特有の重さを抑え、華やかで都会的な洗練さを演出しており、幅広い層に支持されている。バランスの取れたフルーティーさが魅力。	ニューヨークの美しい夕焼けをイメージして作られたと言われております。都会の喧騒を忘れさせてくれるような、華やかな色合いが特徴でございます。	"カクテル完全バイブル、 Wikipedia"
5	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	マンハッタン	320円	1,500円	1	中口,フルボディ,スパイシー,フルーティー,ハーバル,余韻が長い,余韻が複雑,冷やして飲む	アメリカ,誰でも知ってる定番,お酒好き向け,大人の夜,一人しっぽり,物語のある一杯,うんちく語れる,歴史ある銘酒	ニューヨークの夜景のように美しいカクテル。バーボンとベルモットの緊張感が魅力です。		★	0.3	1.2	1.3	-1.5	−	甘味ベルモット主体で酸なしの芳香型	-0.5	1.2	1.4	-1.3	-	ベルモットの香草感とウイスキーが絡み合う重厚な味	-0.5	1	0.5	-1.5	0.3	"アメリカ / ニューヨーク州"	"マンハッタン・クラブ / -"	1870年代	https://www.iba-world.com/	「カクテルの女王」と称される、世界で最も有名な一杯の一つ。ライウイスキーとスイートベルモットをステアし、アンゴスチュラビターズで香りを整える。1874年にニューヨークのマンハッタン・クラブで考案されたという説がある。芳醇な甘みと深いコク、美しい琥珀色が特徴。その洗練された佇まいは、まさにマンハッタンの摩天楼を象徴する存在であり、数あるカクテルの中でも至高の品格を誇る。	別名「カクテルの女王」でございます。チャーチル首相の母親が主催したパーティーで考案されたという説が、最も有力なエピソードとして語り継がれています。	"IBA、 Manhattan Club History"
6	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	ラスティネイル	350円	1,400円	2	甘口,フルボディ,ハーバル,スパイシー,蜂蜜,余韻が長い,余韻が複雑,ぽかぽか広がる,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,大人の夜,締めの一杯,うんちく語れる,一人しっぽり	スコッチとドランブイの錆びた釘。蜂蜜の甘みとスパイスが、夜をじんわり温めます。		★	1	1.3	0.7	-2	−	ドランブイ甘味が前面で酸ゼロ系	1.8	1.6	1.2	-2	-	蜂蜜の濃厚な甘みがあり酸味は皆無。極めて重厚	1	1	-1	-2	0.3	"スコットランド / 国際"	-	1930年代	https://www.iba-world.com/	スコッチウイスキーと、蜂蜜やハーブを原料としたリキュール「ドラムブイ」をビルドする。名前は「錆びた釘」を意味し、その色合いに由来する。1937年の英国博覧会で提供された「B&B」の流れを汲むとされる。ドラムブイの濃厚な甘みがスコッチの力強さを包み込み、ゆっくりと氷を溶かしながら味わうのに適した食後酒。スコットランドの伝統的な素材を活かした、重厚かつ官能的な味わいが特徴。	「錆びた釘」という無骨な名前とは裏腹に、非常に甘美で芳醇な味わいでございます。ゆっくりと時間をかけてお楽しみいただきたい一杯でございます。	"IBA、 Drambuie Official"
7	カクテル	ウイスキー系カクテル	アメリカ	ニューヨーク	ロブロイ	330円	1,500円	3	中口,フルボディ,スパイシー,フルーティー,ハーバル,余韻が長い,余韻が複雑,冷やして飲む	アメリカ,お酒好きなら知ってる,玄人向け,大人の夜,一人しっぽり,うんちく語れる,物語のある一杯	マンハッタンのスコッチ版、スコットランドの英雄の名を持つ格調ある一杯です。			0.3	1.2	1.2	-1.5	−	マンハッタン類似の重厚香り型	-0.4	1.3	1.5	-1.3	-	スコッチ由来の複雑な香りとベルモットの甘苦さ	0	1	0.5	-1.5	0.3	"アメリカ / ニューヨーク州"	"ウォルドルフ・アストリア・ホテル / -"	1894年	https://www.iba-world.com/	スコッチウイスキーをベースとしたマンハッタンの変型版。1894年にニューヨークのウォルドルフ・アストリア・ホテルで、スコットランドの義賊ロバート・ロイ・マグレガーを題材にしたオペレッタの上演を記念して考案された。スイートベルモットの甘みがスコッチのスモーキーさを引き立て、マンハッタンよりも芯の強い味わいを持つ。スコットランドの歴史への敬意が込められた、物語性豊かな一杯。	スコットランドの英雄「赤毛のロブ」に捧げられた赤いカクテルでございます。彼の誇り高い生き様を、スコッチの香りと共にお楽しみいただけます。	"IBA、 Waldorf Astoria Records"
8	カクテル	ウイスキー系カクテル	アメリカ	ルイビル	オールドファッションド	280円	1,400円	1	やや辛口,フルボディ,バニラ,スパイシー,オーク・樽,余韻が長い,余韻が複雑,ぽかぽか広がる,冷やして飲む	アメリカ,誰でも知ってる定番,お酒好き向け,大人の夜,一人しっぽり,物語のある一杯,うんちく語れる,歴史ある銘酒	世界最古のカクテルのひとつ。バーテンダーの技と愛情が注がれた、格調ある一杯です。	○	★	0.2	1.4	0.9	-2	−	砂糖少量のみで酸味皆無の典型	0.6	1.4	1	-1.4	-	砂糖の甘味とビターズの香りが溶け合う古典の重鎮	0	1	-0.5	-2	0.3	"アメリカ / ケンタッキー州"	"ペンデニス・クラブ / -"	1880年代	https://www.iba-world.com/	ウイスキーに角砂糖、ビターズを加え、フルーツを飾るクラシカルなスタイル。1880年代にケンタッキー州のペンデニス・クラブで考案されたとされる。元々は「昔ながらのウイスキーカクテル」と呼ばれていた。客が好みに応じて砂糖やフルーツを潰しながら飲む自由度があり、米国の禁酒法以前の古き良きバー文化を今に伝える。世界中で最も注文されるカクテルの一つであり、不変の価値を持つ。	お客様ご自身でフルーツや砂糖を潰し、好みの味に調整できるのが醍醐味でございます。まさに「自分だけの一杯」を育てる楽しみがございます。	"IBA、 Drinks International"
9	カクテル	ウイスキー系カクテル	イギリス	ロンドン	ジョンコリンズ	220円	1,100円	3	やや甘口,ライトボディ,フルーティー,柑橘系,炭酸・泡立ち,すっきり消える,冷やして飲む	イギリス,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,食前酒,ゆったりしたい	バーボンで作るコリンズ。ウイスキーの豊かさとレモンの爽やかさが、のんびり溶け合います。			0.3		0.7	1.3	−	レモンと炭酸で酸味しっかり軽快	0.2	-0.2	0.4	1	-	ソーダで割るため軽やか。レモンの酸味が心地よい	0	-0.5	0	1.5	0.15	"アメリカ / 国際"	-	19世紀後半	https://www.iba-world.com/	ウイスキー、レモンジュース、砂糖、ソーダで構成されるロングカクテル。元々はロンドンのホテルのウェイター、ジョン・コリンズが考案したジンベースだったが、米国に渡りバーボンベースのものが「ジョンコリンズ」として定着した（現在はジンベースがトムコリンズ）。爽快な喉越しとウイスキーの風味が調和し、現代ではウイスキー・ハイボールの進化形として、親しみやすいスタンダードとして広く普及している。	兄弟分の「トムコリンズ」はジンベースでございます。ベースのお酒によって名前が変わる、バーテンダーの間でも混同しやすい興味深い歴史を持っております。	"IBA、 Difford's Guide"
10	カクテル	ウォッカ系カクテル	−	−	ウォッカトニック	140円	800円	2	中口,ライトボディ,炭酸・泡立ち,すっきり消える,冷やして飲む	−,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,食前酒,無難に決めたい	ジントニックよりクリーンな飲み口。ウォッカの無色透明な個性が、静かに光ります。					0.3	-0.3	−	ジントニックより香り弱くやや辛口寄り	0.4	-0.6	0.1	0.5	-	トニックの甘苦さとライムが香るスタンダードな一杯	0	-1	-1	-0.5	0.15	"アメリカ / 国際"	-	1950年代	-	ウォッカをトニックウォーターで割り、ライムを添えたシンプルかつスタンダードなロングカクテル。第2次世界大戦後、米国でのウォッカブームに伴い普及した。ウォッカの無味無臭に近い特性がトニックウォーターの苦味と甘味を際立たせ、極めてクリーンな味わいを提供する。食事を選ばない汎用性の高さから、現代のバーシーンにおいて極めて高い支持を得ており、喉を潤す一杯目としても最適である。	シンプルだからこそ、ライムの絞り方一つで味わいが劇的に変化いたします。当店のウォッカトニックも、こだわりのバランスで提供しております。	"サントリー、 Smirnoff History"
